Date,Time,Message Type,Instrument code,Exchange Code,Security Type,Unknown,add modify delete,Root symbol,Expiration day,Expiration month,Expiration year,Strike price,Contract size,Contract name,Original exchange contract cod,Call or put,Source of Static,Exercise Type,Listing market for the exchange,Listed Currency,Country of listing,Exchange name,QS Symbol Suffix,
15/04/2022,23:54:03:955,S,IXN22EKB41000,126,2,1.41E+18,2,IXN,20,f5=5,2022,410,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:04:519,S,IXN22QKB40000,126,2,1.41E+18,2,IXN,20,f5=5,2022,400,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:05:201,S,IXN22QKB36500,126,2,1.41E+18,2,IXN,20,f5=5,2022,365,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:05:643,S,IXN22QKB46000,126,2,1.41E+18,2,IXN,20,f5=5,2022,460,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:06:258,S,IXN22QKB35500,126,2,1.41E+18,2,IXN,20,f5=5,2022,355,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:06:511,S,IXN22EKB41500,126,2,1.41E+18,2,IXN,20,f5=5,2022,415,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:08:141,S,IXN22QKB47000,126,2,1.41E+18,2,IXN,20,f5=5,2022,470,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:10:323,S,IXN22EKB38000,126,2,1.41E+18,2,IXN,20,f5=5,2022,380,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:10:407,S,IXN22QKB42000,126,2,1.41E+18,2,IXN,20,f5=5,2022,420,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:15:458,S,IXN22QKB37000,126,2,1.41E+18,2,IXN,20,f5=5,2022,370,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:16:889,S,IXN22EKB36500,126,2,1.41E+18,2,IXN,20,f5=5,2022,365,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:18:580,S,IXN22EKB36000,126,2,1.41E+18,2,IXN,20,f5=5,2022,360,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:19:514,S,IXN22EKB37000,126,2,1.41E+18,2,IXN,20,f5=5,2022,370,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:20:758,S,IXN22EKB43000,126,2,1.41E+18,2,IXN,20,f5=5,2022,430,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:22:771,S,IXN22EKB40000,126,2,1.41E+18,2,IXN,20,f5=5,2022,400,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:23:146,S,IXN22EKB45000,126,2,1.41E+18,2,IXN,20,f5=5,2022,450,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:24:325,S,IXN22QKB37500,126,2,1.41E+18,2,IXN,20,f5=5,2022,375,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:27:642,S,IXN22EKB42500,126,2,1.41E+18,2,IXN,20,f5=5,2022,425,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:27:762,S,IXN22QKB47500,126,2,1.41E+18,2,IXN,20,f5=5,2022,475,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:28:013,S,IXN22EKB35000,126,2,1.41E+18,2,IXN,20,f5=5,2022,350,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:30:579,S,IXN22EKB39500,126,2,1.41E+18,2,IXN,20,f5=5,2022,395,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:30:830,S,IXN22QKB41500,126,2,1.41E+18,2,IXN,20,f5=5,2022,415,100,iShares Global Tech ETF,IXN,P,SQL,A,3,,,,,
15/04/2022,23:54:31:206,S,IXN22EKB44500,126,2,1.41E+18,2,IXN,20,f5=5,2022,445,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
15/04/2022,23:54:36:572,S,IXN22EKB48000,126,2,1.41E+18,2,IXN,20,f5=5,2022,480,100,iShares Global Tech ETF,IXN,C,SQL,A,3,,,,,
